Time	Type	R/W	AP/DP	Register	Request byte	ACK	WData	WData details
6.58832652	Operation	write	DebugPort	SELECT	0xB1	OK	0x00000010	APSEL=0x00, APBANKSEL=0x1, PRESCALER=0x0
6.58842594	Operation	read	AccessPort	BD2	0xB7	OK	0x01010001	
6.58849228	Operation	read	DebugPort	RDBUFF	0xBD	OK	0x00000000	
6.58856934	Operation	read	AccessPort	BD3	0x9F	OK	0x00000000	
6.58863568	Operation	read	DebugPort	RDBUFF	0xBD	OK	0x00000000	
6.58871638	Operation	write	DebugPort	SELECT	0xB1	OK	0x00000000	APSEL=0x00, APBANKSEL=0x0, PRESCALER=0x0
6.58881678	Operation	write	AccessPort	TAR	0x8B	OK	0xE000EDF0	
6.58891864	Operation	write	DebugPort	SELECT	0xB1	OK	0x00000010	APSEL=0x00, APBANKSEL=0x1, PRESCALER=0x0
6.58901808	Operation	read	AccessPort	BD0	0x87	OK	0x00000000	
6.58908442	Operation	read	DebugPort	RDBUFF	0xBD	OK	0x01010001	
6.58918020	Operation	write	DebugPort	SELECT	0xB1	OK	0x00000000	APSEL=0x00, APBANKSEL=0x0, PRESCALER=0x0
6.58928058	Operation	write	AccessPort	TAR	0x8B	OK	0x20000080	
6.58938218	Operation	write	DebugPort	SELECT	0xB1	OK	0x00000010	APSEL=0x00, APBANKSEL=0x1, PRESCALER=0x0
6.58948162	Operation	read	AccessPort	BD2	0xB7	OK	0x01010001	
6.58954796	Operation	read	DebugPort	RDBUFF	0xBD	OK	0x00000000	
6.58962500	Operation	read	AccessPort	BD3	0x9F	OK	0x00000000	
6.58969134	Operation	read	DebugPort	RDBUFF	0xBD	OK	0x00000000	
6.58977206	Operation	write	DebugPort	SELECT	0xB1	OK	0x00000000	APSEL=0x00, APBANKSEL=0x0, PRESCALER=0x0
6.58987242	Operation	write	AccessPort	TAR	0x8B	OK	0xE000EDF0	
6.58997430	Operation	write	DebugPort	SELECT	0xB1	OK	0x00000010	APSEL=0x00, APBANKSEL=0x1, PRESCALER=0x0
6.59007372	Operation	read	AccessPort	BD0	0x87	OK	0x00000000	
6.59014004	Operation	read	DebugPort	RDBUFF	0xBD	OK	0x01010001	
6.59023580	Operation	write	DebugPort	SELECT	0xB1	OK	0x00000000	APSEL=0x00, APBANKSEL=0x0, PRESCALER=0x0
6.59033616	Operation	write	AccessPort	TAR	0x8B	OK	0x20000080	
6.59043774	Operation	write	DebugPort	SELECT	0xB1	OK	0x00000010	APSEL=0x00, APBANKSEL=0x1, PRESCALER=0x0
6.59053716	Operation	read	AccessPort	BD2	0xB7	OK	0x01010001	
6.59060348	Operation	read	DebugPort	RDBUFF	0xBD	OK	0x00000000	
6.59068052	Operation	read	AccessPort	BD3	0x9F	OK	0x00000000	
6.59074686	Operation	read	DebugPort	RDBUFF	0xBD	OK	0x00000000	
6.59082756	Operation	write	DebugPort	SELECT	0xB1	OK	0x00000000	APSEL=0x00, APBANKSEL=0x0, PRESCALER=0x0
6.59092792	Operation	write	AccessPort	TAR	0x8B	OK	0xE000EDF0	
6.59102978	Operation	write	DebugPort	SELECT	0xB1	OK	0x00000010	APSEL=0x00, APBANKSEL=0x1, PRESCALER=0x0
6.59112920	Operation	read	AccessPort	BD0	0x87	OK	0x00000000	
6.59119552	Operation	read	DebugPort	RDBUFF	0xBD	OK	0x01010001	
