Time	Type	R/W	AP/DP	Register	Request byte	ACK	WData	WData details
3.83036592	Operation	read	AccessPort	DRW	0x9F	OK	0x1FFF876C	
3.83041572	Operation	read	DebugPort	RDBUFF	0xBD	OK	0x00000000	
3.83066138	Operation	write	DebugPort	ABORT	0x81	OK	0x0000001E	ORUNERRCLR=1, WDERRCLR=1, STKERRCLR=1, STKCMPCLR=1, DAPABORT=0
3.83071850	Operation	write	DebugPort	SELECT	0xB1	OK	0x00000000	APSEL=0x00, APBANKSEL=0x0, PRESCALER=0x0
3.83076848	Operation	write	AccessPort	TAR	0x8B	OK	0x1FFF8724	
3.83081826	Operation	write	AccessPort	CSW	0xA3	OK	0x23000012	DbgSwEnable=0, Prot=0x23, SPIDEN=0, Mode=0x0, TrInProg=0, DeviceEn=0, AddrInc=Increment single, Size=Word (32 bits)
3.83086812	Operation	read	AccessPort	DRW	0x9F	WAIT		
3.83088250	Operation	read	AccessPort	DRW	0x9F	OK	0x00000000	
3.83093230	Operation	read	AccessPort	DRW	0x9F	OK	0x00000000	
3.83098628	Operation	read	AccessPort	DRW	0x9F	OK	0x00000000	
3.83103594	Operation	read	AccessPort	DRW	0x9F	OK	0x1FFF876C	
3.83108574	Operation	read	DebugPort	RDBUFF	0xBD	OK	0x00000000	
3.83143470	Operation	write	DebugPort	ABORT	0x81	OK	0x0000001E	ORUNERRCLR=1, WDERRCLR=1, STKERRCLR=1, STKCMPCLR=1, DAPABORT=0
3.83159004	Operation	write	DebugPort	SELECT	0xB1	OK	0x00000000	APSEL=0x00, APBANKSEL=0x0, PRESCALER=0x0
3.83164008	Operation	write	AccessPort	TAR	0x8B	OK	0x1FFF876C	
3.83170074	Operation	write	AccessPort	CSW	0xA3	OK	0x23000012	DbgSwEnable=0, Prot=0x23, SPIDEN=0, Mode=0x0, TrInProg=0, DeviceEn=0, AddrInc=Increment single, Size=Word (32 bits)
3.83176122	Operation	write	AccessPort	DRW	0xBB	OK	0xBF282B40	
3.83182170	Operation	write	AccessPort	DRW	0xBB	OK	0x42A32300	
3.83188216	Operation	write	AccessPort	DRW	0xBB	OK	0x54F0BF1C	
3.83193190	Operation	write	AccessPort	DRW	0xBB	OK	0x1E534619	
3.83199658	Operation	write	AccessPort	DRW	0xBB	OK	0x02FFF013	
3.83206810	Operation	write	AccessPort	DRW	0xBB	OK	0xB2CAD1F1	
3.83211786	Operation	write	AccessPort	DRW	0xBB	OK	0x701A4B29	
3.83216760	Operation	write	AccessPort	DRW	0xBB	OK	0x681B4B2B	
3.83221734	Operation	write	AccessPort	DRW	0xBB	OK	0x42A1B153	
3.83226708	Operation	write	AccessPort	DRW	0xBB	OK	0xEBC4BF2E	
3.83231682	Operation	write	AccessPort	DRW	0xBB	OK	0xF1C40101	
3.83236656	Operation	write	AccessPort	DRW	0xBB	OK	0x19090440	
3.83241632	Operation	write	AccessPort	DRW	0xBB	OK	0xBFC42927	
3.83246604	Operation	write	AccessPort	DRW	0xBB	OK	0x701A2201	
3.83251580	Operation	write	AccessPort	DRW	0xBB	OK	0x78DA4B20	
3.83256554	Operation	write	AccessPort	DRW	0xBB	OK	0xF012B2D2	
3.83262456	Operation	read	DebugPort	RDBUFF	0xBD	OK	0x00000000	
3.83267866	Operation	write	DebugPort	SELECT	0xB1	OK	0x00000000	APSEL=0x00, APBANKSEL=0x0, PRESCALER=0x0
3.83272862	Operation	write	AccessPort	TAR	0x8B	OK	0x1FFF87AC	
3.83277842	Operation	write	AccessPort	DRW	0xBB	OK	0xD0270F80	
3.83282822	Operation	write	AccessPort	DRW	0xBB	OK	0xF013791B	
3.83287796	Operation	write	AccessPort	DRW	0xBB	OK	0xD0230F80	
3.83292770	Operation	write	AccessPort	DRW	0xBB	OK	0x781C4B20	
3.83298172	Operation	write	AccessPort	DRW	0xBB	OK	0x4B20B2E4	
3.83303146	Operation	write	AccessPort	DRW	0xBB	OK	0xB2DB781B	
3.83308120	Operation	write	AccessPort	DRW	0xBB	OK	0xD010429C	
3.83313094	Operation	write	AccessPort	DRW	0xBB	OK	0x4D1E4917	
3.83318068	Operation	write	AccessPort	DRW	0xBB	OK	0x42A3E001	
3.83323042	Operation	write	AccessPort	DRW	0xBB	OK	0x3301D00B	
3.83328016	Operation	write	AccessPort	DRW	0xBB	OK	0xBF282B28	
3.83332990	Operation	write	AccessPort	DRW	0xBB	OK	0x79082300	
3.83337964	Operation	write	AccessPort	DRW	0xBB	OK	0xB2C05CE8	
3.83342938	Operation	write	AccessPort	DRW	0xBB	OK	0x7D0871C8	
3.83347912	Operation	write	AccessPort	DRW	0xBB	OK	0x2807B2C0	
3.83352886	Operation	write	AccessPort	DRW	0xBB	OK	0xB2DBD9F1	
3.83357860	Operation	write	AccessPort	DRW	0xBB	OK	0x700B4914	
3.83362834	Operation	write	AccessPort	DRW	0xBB	OK	0x791B4B0D	
3.83367808	Operation	write	AccessPort	DRW	0xBB	OK	0x0F80F013	
3.83372784	Operation	write	AccessPort	DRW	0xBB	OK	0x217CD002	
3.83377758	Operation	write	AccessPort	DRW	0xBB	OK	0x70D94B0A	
3.83382732	Operation	write	AccessPort	DRW	0xBB	OK	0x0F40F012	
3.83387706	Operation	write	AccessPort	DRW	0xBB	OK	0x4B08D00E	
3.83392682	Operation	write	AccessPort	DRW	0xBB	OK	0xF013791B	
3.83398082	Operation	write	AccessPort	DRW	0xBB	OK	0xD0090F40	
3.83403056	Operation	write	AccessPort	DRW	0xBB	OK	0x4B0D2200	
3.83408030	Operation	write	AccessPort	DRW	0xBB	OK	0x4B0D701A	
3.83413006	Operation	write	AccessPort	DRW	0xBB	OK	0xB103681B	
3.83417980	Operation	write	AccessPort	DRW	0xBB	OK	0x223C701A	
3.83422954	Operation	write	AccessPort	DRW	0xBB	OK	0x70DA4B01	
3.83427928	Operation	write	AccessPort	DRW	0xBB	OK	0x4770BC70	
3.83432902	Operation	write	AccessPort	DRW	0xBB	OK	0x4006B000	
3.83437878	Operation	write	AccessPort	DRW	0xBB	OK	0x1FFF8E50	
3.83442850	Operation	write	AccessPort	DRW	0xBB	OK	0x1FFF8DE5	
3.83447826	Operation	write	AccessPort	DRW	0xBB	OK	0x1FFF8E10	
3.83452800	Operation	write	AccessPort	DRW	0xBB	OK	0x1FFF8DE0	
3.83457774	Operation	write	AccessPort	DRW	0xBB	OK	0x1FFF8E58	
3.83462748	Operation	write	AccessPort	DRW	0xBB	OK	0x1FFF8E51	
3.83467720	Operation	write	AccessPort	DRW	0xBB	OK	0x1FFF8DE8	
3.83472694	Operation	write	AccessPort	DRW	0xBB	OK	0x1FFF8DE4	
3.83477668	Operation	write	AccessPort	DRW	0xBB	OK	0x1FFF8E54	
3.83482642	Operation	write	AccessPort	DRW	0xBB	OK	0x681A4B17	
3.83487616	Operation	write	AccessPort	DRW	0xBB	OK	0x5280F442	
3.83492590	Operation	write	AccessPort	DRW	0xBB	OK	0x2300601A	
3.83497946	Operation	write	AccessPort	DRW	0xBB	OK	0x70134A15	
3.83502920	Operation	write	AccessPort	DRW	0xBB	OK	0x70134A15	
3.83507894	Operation	write	AccessPort	DRW	0xBB	OK	0x70134A15	
3.83512868	Operation	write	AccessPort	DRW	0xBB	OK	0x70134A15	
3.83517842	Operation	write	AccessPort	DRW	0xBB	OK	0x70134A15	
3.83522816	Operation	write	AccessPort	DRW	0xBB	OK	0x3113F240	
3.83527790	Operation	write	AccessPort	DRW	0xBB	OK	0x60114A14	
3.83532764	Operation	write	AccessPort	DRW	0xBB	OK	0x7151F44F	
3.83537738	Operation	write	AccessPort	DRW	0xBB	OK	0x60113204	
3.83542712	Operation	write	AccessPort	DRW	0xBB	OK	0x3144F3C0	
3.83547688	Operation	write	AccessPort	DRW	0xBB	OK	0x70114A11	
3.83552662	Operation	write	AccessPort	DRW	0xBB	OK	0x1147F3C0	
3.83557636	Operation	write	AccessPort	DRW	0xBB	OK	0xF0007051	
3.83562610	Operation	write	AccessPort	DRW	0xBB	OK	0x7290001F	
3.83567584	Operation	write	AccessPort	DRW	0xBB	OK	0x74137093	
3.83572558	Operation	write	AccessPort	DRW	0xBB	OK	0x70D3232C	
3.83577534	Operation	write	AccessPort	DRW	0xBB	OK	0x4B0C2240	
3.83582508	Operation	write	AccessPort	DRW	0xBB	OK	0xF44F701A	
3.83587482	Operation	write	AccessPort	DRW	0xBB	OK	0xF2A33200	
3.83592456	Operation	write	AccessPort	DRW	0xBB	OK	0x601A332D	
3.83598138	Operation	write	AccessPort	DRW	0xBB	OK	0xBF004770	
3.83603116	Operation	write	AccessPort	DRW	0xBB	OK	0x40048034	
3.83608090	Operation	write	AccessPort	DRW	0xBB	OK	0x1FFF8ECC	
3.83613064	Operation	write	AccessPort	DRW	0xBB	OK	0x1FFF8E61	
3.83618038	Operation	write	AccessPort	DRW	0xBB	OK	0x1FFF8ED4	
3.83623012	Operation	write	AccessPort	DRW	0xBB	OK	0x1FFF8ECD	
3.83627984	Operation	write	AccessPort	DRW	0xBB	OK	0x1FFF8E60	
3.83632958	Operation	write	AccessPort	DRW	0xBB	OK	0x4004C008	
3.83637932	Operation	write	AccessPort	DRW	0xBB	OK	0x4006C000	
3.83642906	Operation	write	AccessPort	DRW	0xBB	OK	0xE000E431	
3.83647880	Operation	write	AccessPort	DRW	0xBB	OK	0x789B4B16	
3.83652854	Operation	write	AccessPort	DRW	0xBB	OK	0x03ECF003	
3.83657828	Operation	write	AccessPort	DRW	0xBB	OK	0x0203F000	
3.83662802	Operation	write	AccessPort	DRW	0xBB	OK	0xF0104313	
3.83667776	Operation	write	AccessPort	DRW	0xBB	OK	0xBF180F04	
3.83672750	Operation	write	AccessPort	DRW	0xBB	OK	0x0310F043	
3.83677724	Operation	write	AccessPort	DRW	0xBB	OK	0x70934A10	
