Time	Type	R/W	AP/DP	Register	Request byte	ACK	WData	WData details
30.21095341	Operation	read	AccessPort	CSW	0x87	OK	0x12345678	DbgSwEnable=0, Prot=0x12, SPIDEN=0, Mode=0x6, TrInProg=0, DeviceEn=1, AddrInc=Reserved, Size=Byte (8 bits)
30.21172367	Operation	read	DebugPort	RDBUFF	0xBD	OK	0x23000052	
30.21249950	Operation	write	AccessPort	TAR	0x8B	OK	0x14000000	
30.21327506	Operation	read	AccessPort	CSW	0x87	OK	0x23000052	DbgSwEnable=0, Prot=0x23, SPIDEN=0, Mode=0x0, TrInProg=0, DeviceEn=1, AddrInc=Increment single, Size=Word (32 bits)
30.21404786	Operation	read	DebugPort	RDBUFF	0xBD	OK	0x23000052	
30.21482314	Operation	write	AccessPort	DRW	0xBB	OK	0xFFFFFFFF	
30.21559512	Operation	read	AccessPort	CSW	0x87	OK	0x23000052	DbgSwEnable=0, Prot=0x23, SPIDEN=0, Mode=0x0, TrInProg=0, DeviceEn=1, AddrInc=Increment single, Size=Word (32 bits)
30.21636820	Operation	read	DebugPort	RDBUFF	0xBD	OK	0x23000052	
30.21714366	Operation	write	AccessPort	TAR	0x8B	OK	0x14000000	
30.21791861	Operation	read	AccessPort	CSW	0x87	OK	0x23000052	DbgSwEnable=0, Prot=0x23, SPIDEN=0, Mode=0x0, TrInProg=0, DeviceEn=1, AddrInc=Increment single, Size=Word (32 bits)
30.21868896	Operation	read	DebugPort	RDBUFF	0xBD	OK	0x23000052	
30.21946387	Operation	read	AccessPort	DRW	0x9F	OK	0x23000052	
30.22023675	Operation	read	DebugPort	RDBUFF	0xBD	OK	0xFFFFFFFF	
30.22101260	Operation	read	AccessPort	CSW	0x87	OK	0xFFFFFFFF	DbgSwEnable=1, Prot=0x7F, SPIDEN=1, Mode=0xF, TrInProg=1, DeviceEn=1, AddrInc=Reserved, Size=Reserved
30.22178478	Operation	read	DebugPort	RDBUFF	0xBD	OK	0x23000052	
30.22255848	Operation	write	AccessPort	TAR	0x8B	OK	0x140003FC	
30.22333378	Operation	read	AccessPort	CSW	0x87	OK	0x23000052	DbgSwEnable=0, Prot=0x23, SPIDEN=0, Mode=0x0, TrInProg=0, DeviceEn=1, AddrInc=Increment single, Size=Word (32 bits)
30.22410654	Operation	read	DebugPort	RDBUFF	0xBD	OK	0x23000052	
30.22488183	Operation	write	AccessPort	DRW	0xBB	OK	0xA5559872	
30.22565414	Operation	read	AccessPort	CSW	0x87	OK	0x23000052	DbgSwEnable=0, Prot=0x23, SPIDEN=0, Mode=0x0, TrInProg=0, DeviceEn=1, AddrInc=Increment single, Size=Word (32 bits)
30.22642713	Operation	read	DebugPort	RDBUFF	0xBD	OK	0x23000052	
30.22720264	Operation	write	AccessPort	TAR	0x8B	OK	0x140003FC	
30.22797740	Operation	read	AccessPort	CSW	0x87	OK	0x23000052	DbgSwEnable=0, Prot=0x23, SPIDEN=0, Mode=0x0, TrInProg=0, DeviceEn=1, AddrInc=Increment single, Size=Word (32 bits)
30.22874773	Operation	read	DebugPort	RDBUFF	0xBD	OK	0x23000052	
30.22952244	Operation	read	AccessPort	DRW	0x9F	OK	0x23000052	
30.23029542	Operation	read	DebugPort	RDBUFF	0xBD	OK	0xA5559872	
30.23107134	Operation	read	AccessPort	CSW	0x87	OK	0xA5559872	DbgSwEnable=1, Prot=0x25, SPIDEN=0, Mode=0x8, TrInProg=0, DeviceEn=1, AddrInc=Reserved, Size=Word (32 bits)
30.23184399	Operation	read	DebugPort	RDBUFF	0xBD	OK	0x23000052	
30.23261730	Operation	write	AccessPort	TAR	0x8B	OK	0x140003FC	
30.23339264	Operation	read	AccessPort	CSW	0x87	OK	0x23000052	DbgSwEnable=0, Prot=0x23, SPIDEN=0, Mode=0x0, TrInProg=0, DeviceEn=1, AddrInc=Increment single, Size=Word (32 bits)
30.23416560	Operation	read	DebugPort	RDBUFF	0xBD	OK	0x23000052	
30.23494090	Operation	write	AccessPort	DRW	0xBB	OK	0xFFFFFFFF	
30.23571286	Operation	read	AccessPort	CSW	0x87	OK	0x23000052	DbgSwEnable=0, Prot=0x23, SPIDEN=0, Mode=0x0, TrInProg=0, DeviceEn=1, AddrInc=Increment single, Size=Word (32 bits)
30.23648581	Operation	read	DebugPort	RDBUFF	0xBD	OK	0x23000052	
30.23726132	Operation	write	AccessPort	TAR	0x8B	OK	0x140003FC	
30.23803612	Operation	read	AccessPort	CSW	0x87	OK	0x23000052	DbgSwEnable=0, Prot=0x23, SPIDEN=0, Mode=0x0, TrInProg=0, DeviceEn=1, AddrInc=Increment single, Size=Word (32 bits)
30.23880858	Operation	read	DebugPort	RDBUFF	0xBD	OK	0x23000052	
30.23958117	Operation	read	AccessPort	DRW	0x9F	OK	0x23000052	
30.24035414	Operation	read	DebugPort	RDBUFF	0xBD	OK	0xFFFFFFFF	
31.24116506	Operation	read	AccessPort	CSW	0x87	OK	0xFFFFFFFF	DbgSwEnable=1, Prot=0x7F, SPIDEN=1, Mode=0xF, TrInProg=1, DeviceEn=1, AddrInc=Reserved, Size=Reserved
31.24193760	Operation	read	DebugPort	RDBUFF	0xBD	OK	0x23000052	
31.24271089	Operation	write	AccessPort	TAR	0x8B	OK	0x14000000	
31.24348639	Operation	read	AccessPort	CSW	0x87	OK	0x23000052	DbgSwEnable=0, Prot=0x23, SPIDEN=0, Mode=0x0, TrInProg=0, DeviceEn=1, AddrInc=Increment single, Size=Word (32 bits)
31.24425945	Operation	read	DebugPort	RDBUFF	0xBD	OK	0x23000052	
31.24503487	Operation	write	AccessPort	DRW	0xBB	OK	0x20008000	
31.24581463	Operation	read	AccessPort	CSW	0x87	OK	0x23000052	DbgSwEnable=0, Prot=0x23, SPIDEN=0, Mode=0x0, TrInProg=0, DeviceEn=1, AddrInc=Increment single, Size=Word (32 bits)
31.24658537	Operation	read	DebugPort	RDBUFF	0xBD	OK	0x23000052	
31.24736098	Operation	write	AccessPort	DRW	0xBB	OK	0x000001BD	
31.24813621	Operation	read	AccessPort	CSW	0x87	OK	0x23000052	DbgSwEnable=0, Prot=0x23, SPIDEN=0, Mode=0x0, TrInProg=0, DeviceEn=1, AddrInc=Increment single, Size=Word (32 bits)
31.24890898	Operation	read	DebugPort	RDBUFF	0xBD	OK	0x23000052	
31.24968189	Operation	write	AccessPort	DRW	0xBB	OK	0x00001481	
31.25045723	Operation	read	AccessPort	CSW	0x87	OK	0x23000052	DbgSwEnable=0, Prot=0x23, SPIDEN=0, Mode=0x0, TrInProg=0, DeviceEn=1, AddrInc=Increment single, Size=Word (32 bits)
31.25123019	Operation	read	DebugPort	RDBUFF	0xBD	OK	0x23000052	
31.25200557	Operation	write	AccessPort	DRW	0xBB	OK	0x00001445	
31.25278046	Operation	read	AccessPort	CSW	0x87	OK	0x23000052	DbgSwEnable=0, Prot=0x23, SPIDEN=0, Mode=0x0, TrInProg=0, DeviceEn=1, AddrInc=Increment single, Size=Word (32 bits)
31.25355121	Operation	read	DebugPort	RDBUFF	0xBD	OK	0x23000052	
31.25432680	Operation	write	AccessPort	DRW	0xBB	OK	0x00001445	
31.25510209	Operation	read	AccessPort	CSW	0x87	OK	0x23000052	DbgSwEnable=0, Prot=0x23, SPIDEN=0, Mode=0x0, TrInProg=0, DeviceEn=1, AddrInc=Increment single, Size=Word (32 bits)
31.25587494	Operation	read	DebugPort	RDBUFF	0xBD	OK	0x23000052	
31.25664786	Operation	write	AccessPort	DRW	0xBB	OK	0x00001445	
31.25742292	Operation	read	AccessPort	CSW	0x87	OK	0x23000052	DbgSwEnable=0, Prot=0x23, SPIDEN=0, Mode=0x0, TrInProg=0, DeviceEn=1, AddrInc=Increment single, Size=Word (32 bits)
31.25819595	Operation	read	DebugPort	RDBUFF	0xBD	OK	0x23000052	
31.25897129	Operation	write	AccessPort	DRW	0xBB	OK	0x00001445	
31.25974618	Operation	read	AccessPort	CSW	0x87	OK	0x23000052	DbgSwEnable=0, Prot=0x23, SPIDEN=0, Mode=0x0, TrInProg=0, DeviceEn=1, AddrInc=Increment single, Size=Word (32 bits)
31.26051710	Operation	read	DebugPort	RDBUFF	0xBD	OK	0x23000052	
31.26129268	Operation	write	AccessPort	DRW	0xBB	OK	0x00001445	
31.26206794	Operation	read	AccessPort	CSW	0x87	OK	0x23000052	DbgSwEnable=0, Prot=0x23, SPIDEN=0, Mode=0x0, TrInProg=0, DeviceEn=1, AddrInc=Increment single, Size=Word (32 bits)
31.26284070	Operation	read	DebugPort	RDBUFF	0xBD	OK	0x23000052	
31.26361362	Operation	write	AccessPort	DRW	0xBB	OK	0x00001445	
31.26438878	Operation	read	AccessPort	CSW	0x87	OK	0x23000052	DbgSwEnable=0, Prot=0x23, SPIDEN=0, Mode=0x0, TrInProg=0, DeviceEn=1, AddrInc=Increment single, Size=Word (32 bits)
31.26516174	Operation	read	DebugPort	RDBUFF	0xBD	OK	0x23000052	
31.26593708	Operation	write	AccessPort	DRW	0xBB	OK	0x00001445	
31.26670988	Operation	read	AccessPort	CSW	0x87	OK	0x23000052	DbgSwEnable=0, Prot=0x23, SPIDEN=0, Mode=0x0, TrInProg=0, DeviceEn=1, AddrInc=Increment single, Size=Word (32 bits)
31.26748272	Operation	read	DebugPort	RDBUFF	0xBD	OK	0x23000052	
31.26825832	Operation	write	AccessPort	DRW	0xBB	OK	0x00001445	
31.26903356	Operation	read	AccessPort	CSW	0x87	OK	0x23000052	DbgSwEnable=0, Prot=0x23, SPIDEN=0, Mode=0x0, TrInProg=0, DeviceEn=1, AddrInc=Increment single, Size=Word (32 bits)
31.26980598	Operation	read	DebugPort	RDBUFF	0xBD	OK	0x23000052	
31.27057932	Operation	write	AccessPort	DRW	0xBB	OK	0x00001481	
31.27135470	Operation	read	AccessPort	CSW	0x87	OK	0x23000052	DbgSwEnable=0, Prot=0x23, SPIDEN=0, Mode=0x0, TrInProg=0, DeviceEn=1, AddrInc=Increment single, Size=Word (32 bits)
31.27212765	Operation	read	DebugPort	RDBUFF	0xBD	OK	0x23000052	
31.27290299	Operation	write	AccessPort	DRW	0xBB	OK	0x00001481	
31.27367583	Operation	read	AccessPort	CSW	0x87	OK	0x23000052	DbgSwEnable=0, Prot=0x23, SPIDEN=0, Mode=0x0, TrInProg=0, DeviceEn=1, AddrInc=Increment single, Size=Word (32 bits)
31.27444875	Operation	read	DebugPort	RDBUFF	0xBD	OK	0x23000052	
31.27522439	Operation	write	AccessPort	DRW	0xBB	OK	0x00001445	
31.27599959	Operation	read	AccessPort	CSW	0x87	OK	0x23000052	DbgSwEnable=0, Prot=0x23, SPIDEN=0, Mode=0x0, TrInProg=0, DeviceEn=1, AddrInc=Increment single, Size=Word (32 bits)
31.27677201	Operation	read	DebugPort	RDBUFF	0xBD	OK	0x23000052	
31.27754536	Operation	write	AccessPort	DRW	0xBB	OK	0x00001481	
31.27832074	Operation	read	AccessPort	CSW	0x87	OK	0x23000052	DbgSwEnable=0, Prot=0x23, SPIDEN=0, Mode=0x0, TrInProg=0, DeviceEn=1, AddrInc=Increment single, Size=Word (32 bits)
31.27909370	Operation	read	DebugPort	RDBUFF	0xBD	OK	0x23000052	
31.27986904	Operation	write	AccessPort	DRW	0xBB	OK	0x00001435	
31.28064184	Operation	read	AccessPort	CSW	0x87	OK	0x23000052	DbgSwEnable=0, Prot=0x23, SPIDEN=0, Mode=0x0, TrInProg=0, DeviceEn=1, AddrInc=Increment single, Size=Word (32 bits)
31.28141468	Operation	read	DebugPort	RDBUFF	0xBD	OK	0x23000052	
